,camera_title,price,warranty
0,"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens","<div class=""_30jeq3 _1_WHN1"">₹26,999</div>","<li class=""rgWa7D"">2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)</li>"
1,Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens,"<div class=""_30jeq3 _1_WHN1"">₹38,999</div>","<li class=""rgWa7D"">2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)</li>"
2,Canon EOS M50 Mark II Mirrorless Camera EF-M15-45mm is STM Lens,"<div class=""_30jeq3 _1_WHN1"">₹57,890</div>","<li class=""rgWa7D"">2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)</li>"
3,Canon EOS 200D II DSLR Camera EF-S18-55mm IS STM,"<div class=""_30jeq3 _1_WHN1"">₹56,499</div>","<li class=""rgWa7D"">2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)</li>"
4,SONY ILCE-6100L/B IN5 Mirrorless Camera With 16-50 mm Power Zoom Lens,"<div class=""_30jeq3 _1_WHN1"">₹66,990</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
5,SONY ILCE-6100/B IN5 Mirrorless Camera Body Only,"<div class=""_30jeq3 _1_WHN1"">₹56,990</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
6,Canon EOS M200 Mirrorless Camera Body with Single Lens (EF-M15-45mm f/3.5-6.3 IS STM),"<div class=""_30jeq3 _1_WHN1"">₹41,162</div>","<li class=""rgWa7D"">2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)</li>"
7,SONY ILCE-7M4K/BQIN5 Mirrorless Camera Single Lens: 28-70 mm,"<div class=""_30jeq3 _1_WHN1"">₹2,42,990</div>","<li class=""rgWa7D"">2 Years Warranty</li>"
8,NIKON Z 50 Mirrorless Camera Body with 16-50mm Lens,"<div class=""_30jeq3 _1_WHN1"">₹85,995</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
9,POZUB New Arrival 3in1 Selfie Stick Stand With Dustproof Bag PZB-XT012 Travel Tripod Stand Flexible Ha...,"<div class=""_30jeq3 _1_WHN1"">₹396</div>","<li class=""rgWa7D"">NA</li>"
10,SONY ILCE-7M4/BQ IN5 Mirrorless Camera Body Only,"<div class=""_30jeq3 _1_WHN1"">₹2,24,990</div>","<li class=""rgWa7D"">2 Years Warranty</li>"
11,Panasonic Lumix DMC-GH4 Mirrorless Camera Body with 12-60mm Lens,"<div class=""_30jeq3 _1_WHN1"">₹73,999</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
12,SONY Alpha 7M3 Mirrorless Camera Body Only,"<div class=""_30jeq3 _1_WHN1"">₹1,59,990</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
13,FUJIFILM X Series X-E4 Mirrorless Camera Body with XF 27 mm F2.8 R WR Prime Lens,"<div class=""_30jeq3 _1_WHN1"">₹89,999</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
14,NIKON D7500 DSLR Camera Body with 18-140 mm Lens,"<div class=""_30jeq3 _1_WHN1"">₹93,000</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
15,POZUB High Quality Portable Multi-Purpose Selfie Stick Stand With Dustproof Bag PZB-XT012 Travel Tripo...,"<div class=""_30jeq3 _1_WHN1"">₹398</div>","<li class=""rgWa7D"">NA</li>"
16,SONY ILCE-7CL/SQ IN5 Mirrorless Camera Mirrorless,"<div class=""_30jeq3 _1_WHN1"">₹1,73,290</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
17,POZUB PUB-42WW NEW ARRIVAL Best Buy Strong Tripod stand + Dustproof Bag with Clip |Tripod stand mobile...,"<div class=""_30jeq3 _1_WHN1"">₹341</div>","<li class=""rgWa7D"">NA</li>"
18,NIKON Z5 Mirrorless Camera 24-200 mm,"<div class=""_30jeq3 _1_WHN1"">₹1,59,146</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
19,POZUB 3 in1 Multi-Purpose Bluetooth Extendable Wireless Remote Selfie Stick Tripod Stand + Dustproof B...,"<div class=""_30jeq3 _1_WHN1"">₹397</div>","<li class=""rgWa7D"">NA</li>"
20,POZUB PZB-F42 Buy Hot Selling Tripod stand with Clip BAG |Tripod stand for camera||Gimbal for smartpho...,"<div class=""_30jeq3 _1_WHN1"">₹328</div>","<li class=""rgWa7D"">NA</li>"
21,SONY ILCE-7SM3/BQ IN5 Mirrorless Camera Mirrorless,"<div class=""_30jeq3 _1_WHN1"">₹2,96,990</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
22,FUJIFILM X Series X-T4 Mirrorless Camera Body with XF 18-55mm Lens,"<div class=""_30jeq3 _1_WHN1"">₹1,71,999</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
23,FUJIFILM X Series X-S10 Mirrorless Camera Body with XF 16 - 80 mm Lens,"<div class=""_30jeq3 _1_WHN1"">₹1,39,499</div>","<li class=""rgWa7D"">2 Year Warranty</li>"
